SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO,LATITUDE,LONGITUDE
IF Baiano,Instituto Federal Baiano,Campus Xique-Xique,2016,BA,Xique-Xique,-10.823,-42.7245
IFPE,Instituto Federal de Pernambuco,Campus Abreu e Lima,2017,PE,Abreu e Lima,-7.90072,-34.8984
IFCE,Instituto Federal do Ceará,Campus Acopiara,2017,CE,Acopiara,-6.08911,-39.448
IFCE,Instituto Federal do Ceará,Campus Maranguape,2017,CE,Maranguape,-3.89143,-38.6829
IFPB,Instituto Federal da Paraíba,Campus Santa Luzia - IFPB,2017,PB,Santa Luzia,-4.06873,-45.69
IFPB,Instituto Federal da Paraíba,Campus Santa Luzia - IFPB,2017,PB,Santa Luzia,-15.4342,-39.3287
IFPB,Instituto Federal da Paraíba,Campus Santa Luzia - IFPB,2017,PB,Santa Luzia,-19.7548,-43.8497
IFPB,Instituto Federal da Paraíba,Campus Santa Luzia - IFPB,2017,PB,Santa Luzia,-6.86092,-36.9178
IFSP,Instituto Federal de São Paulo,Campus São José do Rio Preto,2017,SP,São José do Rio Preto,-20.8113,-49.3758
IFPR,Instituto Federal do Paraná,Campus Avançado Arapongas,2018,PR,Arapongas,-23.4153,-51.4259
IFRJ,Instituto Federal do Rio de Janeiro,Campus Belford Roxo,2018,RJ,Belford Roxo,-22.764,-43.3992
IFAM,Instituto Federal do Amazonas,Campus Avançado Boca do Acre,2018,AM,Boca do Acre,-8.74232,-67.3919
IFPB,Instituto Federal da Paraíba,Polo de Inovação João Pessoa,2018,PB,Coronel João Pessoa,-6.24974,-38.4441
IFSC,Instituto Federal de Santa Catarina,Polo de Inovação Florianópolis,2018,SC,Florianópolis,-27.5945,-48.5477
IFMG,Instituto Federal de Minas Gerais,Campus Ibirité,2018,MG,Ibirité,-20.0252,-44.0569
IFAM,Instituto Federal do Amazonas,Campus Avançado Iranduba,2018,AM,Iranduba,-3.27479,-60.19
IFRN,Instituto Federal do Rio Grande do Norte,Campus Avançado Jucurutu,2018,RN,Jucurutu,-6.0306,-37.009
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Polo de Inovação Machado,2018,MG,Machado,-21.6778,-45.9219
IFCE,Instituto Federal do Ceará,Campus Avançado Mombaça,2018,CE,Mombaça,-5.73844,-39.63
IFRN,Instituto Federal do Rio Grande do Norte,Campus Avançado Natal Zona Leste,2018,RN,Natal,-5.79357,-35.1986
IFRJ,Instituto Federal do Rio de Janeiro,Campus Niterói - IFRJ,2018,RJ,Niterói,-22.8832,-43.1034
IF Goiano,Instituto Federal Goiano,Polo de Inovação Rio Verde,2018,GO,Rio Verde,-17.7923,-50.9192
IFRJ,Instituto Federal do Rio de Janeiro,Campus São João de Meriti,2018,RJ,São João de Meriti,-22.8058,-43.3729
IFRO,Instituto Federal de Rondônia,Campus Avançado São Miguel do Guaporé,2018,RO,São Miguel do Guaporé,-11.6953,-62.7192
IFSP,Instituto Federal de São Paulo,Campus Avançado São Paulo - São Miguel,2018,SP,São Paulo,-23.5329,-46.6395
IFPB,Instituto Federal da Paraíba,Campus Avançado Areia,2020,PB,Areia,-6.96396,-35.6977
IFPB,Instituto Federal da Paraíba,Campus Avançado Pedras de Fogo,2020,PB,Pedras de Fogo,-7.39107,-35.1065
IFS,Instituto Federal de Sergipe,Campus Poço Redondo,2020,SE,Poço Redondo,-9.80616,-37.6833
IFMA,Instituto Federal do Maranhão,Campus Presidente Dutra,2020,MA,Presidente Dutra,-11.2923,-41.9843
IFMA,Instituto Federal do Maranhão,Campus Presidente Dutra,2020,MA,Presidente Dutra,-5.2898,-44.495
IFG,Instituto Federal de Goiás,Polo de Inovação Goiânia,2021,GO,Goiânia,-16.6864,-49.2643
IFF,Instituto Federal Fluminense,Campus Itaboraí,2021,RJ,Itaboraí,-22.7565,-42.8639
IFAM,Instituto Federal do Amazonas,Polo de Inovação Manaus,2021,AM,Manaus,-3.11866,-60.0212
IFSP,Instituto Federal de São Paulo,Polo de Inovação Matão,2021,SP,Matão,-21.6025,-48.364
IFTM,Instituto Federal do Triângulo Mineiro,Polo de Inovação Uberaba,2021,MG,Uberaba,-19.7472,-47.9381
IFSP,Instituto Federal de São Paulo,Campus Bauru,2022,SP,Bauru,-22.3246,-49.0871
IFES,Instituto Federal do Espírito Santo,Campus Laranja da Terra,2022,ES,Laranja da Terra,-19.8994,-41.0621
IFSP,Instituto Federal de São Paulo,Campus Miracatu,2022,SP,Miracatu,-24.2766,-47.4625
IFES,Instituto Federal do Espírito Santo,Campus Pedro Canário,2022,ES,Pedro Canário,-18.3004,-39.9574
IFES,Instituto Federal do Espírito Santo,Campus Presidente Kennedy,2022,ES,Presidente Kennedy,-8.5406,-48.5062
IFES,Instituto Federal do Espírito Santo,Campus Presidente Kennedy,2022,ES,Presidente Kennedy,-21.0964,-41.0468
IFSP,Instituto Federal de São Paulo,Campus Presidente Prudente,2022,SP,Presidente Prudente,-22.1207,-51.3925
IFSP,Instituto Federal de São Paulo,Campus Rio Claro,2022,SP,Rio Claro,-22.72,-44.1419
IFSP,Instituto Federal de São Paulo,Campus Rio Claro,2022,SP,Rio Claro,-22.3984,-47.5546
