SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO,LATITUDE,LONGITUDE
IFAM,Instituto Federal do Amazonas,Campus São Gabriel da Cachoeira,1993,AM,São Gabriel da Cachoeira,-0.11909,-67.084
IF Baiano,Instituto Federal Baiano,Campus Senhor do Bonfim,1993,BA,Senhor do Bonfim,-10.4594,-40.1865
IFBA,Instituto Federal da Bahia,Campus Vitória da Conquista,1993,BA,Vitória da Conquista,-14.8615,-40.8442
IFPB,Instituto Federal da Paraíba,Campus Cajazeiras,1994,PB,Cajazeiras,-6.88004,-38.5577
IFPI,Instituto Federal do Piauí,Campus Floriano,1994,PI,Floriano,-6.77182,-43.0241
IFSC,Instituto Federal de Santa Catarina,Campus Jaraguá do Sul,1994,SC,Jaraguá do Sul,-26.4851,-49.0713
IFS,Instituto Federal de Sergipe,Campus Lagarto,1994,SE,Lagarto,-10.9136,-37.6689
IFRN,Instituto Federal do Rio Grande do Norte,Campus Mossoró,1994,RN,Mossoró,-5.18374,-37.3474
IFRJ,Instituto Federal do Rio de Janeiro,Campus Nilópolis,1994,RJ,Nilópolis,-22.8057,-43.4233
IFPA,Instituto Federal do Pará,Campus Tucuruí,1994,PA,Tucuruí,-3.7657,-49.6773
IFBA,Instituto Federal da Bahia,Campus Valença Tento,1994,BA,Valença,-13.3669,-39.073
IFBA,Instituto Federal da Bahia,Campus Valença Tento,1994,BA,Valença,-22.2445,-43.7129
IFCE,Instituto Federal do Ceará,Campus Cedro,1995,CE,Cedro,-6.60034,-39.0609
IFCE,Instituto Federal do Ceará,Campus Cedro,1995,CE,Cedro,-7.71179,-39.2367
IFCE,Instituto Federal do Ceará,Campus Juazeiro do Norte,1995,CE,Juazeiro do Norte,-7.19621,-39.3076
IFAL,Instituto Federal de Alagoas,Campus Marechal Deodoro,1995,AL,Marechal Deodoro,-9.70971,-35.8967
IFSul,Instituto Federal Sul-rio-grandense,Campus Sapucaia do Sul,1995,RS,Sapucaia do Sul,-29.8276,-51.145
IFSP,Instituto Federal de São Paulo,Campus Sertãozinho,1996,SP,Sertãozinho,-21.1316,-47.9875
IFSP,Instituto Federal de São Paulo,Campus Sertãozinho,1996,SP,Sertãozinho,-6.75127,-35.4372
IF Goiano,Instituto Federal Goiano,Campus Morrinhos,1997,GO,Morrinhos,-17.7334,-49.1059
IF Goiano,Instituto Federal Goiano,Campus Morrinhos,1997,GO,Morrinhos,-3.23426,-40.1233
CPII,Colégio Pedro II,Campus São Cristóvão III,1999,RJ,Rio de Janeiro,-22.9129,-43.2003
IFRJ,Instituto Federal do Rio de Janeiro,Campus Rio de Janeiro,1999,RJ,Rio de Janeiro,-22.9129,-43.2003
IFES,Instituto Federal do Espírito Santo,Campus Serra,2000,ES,Serra,-20.121,-40.3074
IFES,Instituto Federal do Espírito Santo,Campus Cachoeiro de Itapemirim,2003,ES,Cachoeiro de Itapemirim,-20.8462,-41.1198
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Nova Iguaçu,2003,RJ,Nova Iguaçu,-22.7556,-43.4603
IFTO,Instituto Federal do Tocantins,Campus Palmas - IFTO,2003,TO,Palmas,-26.4839,-51.9888
IFTO,Instituto Federal do Tocantins,Campus Palmas - IFTO,2003,TO,Palmas,-10.24,-48.3558
IFRJ,Instituto Federal do Rio de Janeiro,Campus Paracambi,2003,RJ,Paracambi,-22.6078,-43.7108
IFSC,Instituto Federal de Santa Catarina,Campus São José,2003,SC,São José,-27.6136,-48.6366
CPII,Colégio Pedro II,Campus Realengo II,2004,RJ,Rio de Janeiro,-22.9129,-43.2003
