UNIDADE_ORCAMENTARIA_CODIGO,UNIDADE_ORCAMENTARIA_NOME,ORGAO_UGE_CODIGO,ORGAO_UGE_NOME,ACAO_GOVERNO_CODIGO,ACAO_GOVERNO_NOME,SALDO_MOEDA_ORIGEM
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26409,"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"404.000,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26410,"INST.FED.DE EDUC.,CIENC.E TEC.DO NORTE DE MG",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"1.385.002,01"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26412,"INST.FED.DE EDUC.,CIENC.E TEC.DO SUL DE MG",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"3.686.599,89"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26414,"INST.FED.DE EDUC.,CIENC.E TEC.DO MATO GROSSO",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"2.334.200,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26415,"INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"273.600,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26417,"INST.FED.DE EDUC.,CIENC.E TEC.DA PARAIBA",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"1.527.200,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26418,"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"436.965,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26420,"INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"207.820,30"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26421,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"336.151,06"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26423,"INST.FED.DE EDUC.,CIENC.E TEC.DE SERGIPE",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"90.000,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26424,"INST.FED.DE EDUC.,CIENC.E TEC.DO TOCANTINS",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"481.295,65"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26425,"INST.FED.DE EDUC.,CIENC.E TEC.DO ACRE",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"787.061,88"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26426,"INST.FED.DE EDUC.,CIENC.E TEC.DO AMAPA",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"904.000,00"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26427,"INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"2.074.550,97"
26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,26429,"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS",21B4,FOMENTO AO DESENVOLVIMENTO E MODERNIZACAO DOS SISTEMAS DE EN,"192.000,00"
