SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO
IF Farroupilha,Instituto Federal Farroupilha,Campus Santo Augusto,2007,RS,Santo Augusto
IFSP,Instituto Federal de São Paulo,Campus São Carlos - IFSP,2007,SP,São Carlos
IFPA,Instituto Federal do Pará,Campus Abaetetuba,2008,PA,Abaetetuba
IFES,Instituto Federal do Espírito Santo,Campus Aracruz,2008,ES,Aracruz
IFSC,Instituto Federal de Santa Catarina,Campus Araranguá,2008,SC,Araranguá
IFPE,Instituto Federal de Pernambuco,Campus Barreiros,2008,PE,Barreiros
IFPE,Instituto Federal de Pernambuco,Campus Belo Jardim,2008,PE,Belo Jardim
IFPA,Instituto Federal do Pará,Campus Bragança,2008,PA,Bragança
IFB,Instituto Federal de Brasília,Campus Planaltina,2008,DF,Brasília
IFF,Instituto Federal Fluminense,Campus Cabo Frio,2008,RJ,Cabo Frio
IFMT,Instituto Federal de Mato Grosso,Campus Campo Novo do Parecis,2008,MT,Campo Novo do Parecis
IFSP,Instituto Federal de São Paulo,Campus Campos do Jordão,2008,SP,Campos do Jordão
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Contagem,2008,MG,Contagem
IFPR,Instituto Federal do Paraná,Campus Curitiba,2008,PR,Curitiba
IFRJ,Instituto Federal do Rio de Janeiro,Campus Duque de Caxias,2008,RJ,Duque de Caxias
IFMG,Instituto Federal de Minas Gerais,Campus Formiga,2008,MG,Formiga
IFS,Instituto Federal de Sergipe,Campus Itabaiana - IFS,2008,SE,Itabaiana
IFG,Instituto Federal de Goiás,Campus Itumbiara,2008,GO,Itumbiara
IFCE,Instituto Federal do Ceará,Campus Limoeiro do Norte,2008,CE,Limoeiro do Norte
IFES,Instituto Federal do Espírito Santo,Campus Linhares,2008,ES,Linhares
IFAL,Instituto Federal de Alagoas,Campus Maragogi,2008,AL,Maragogi
IFS,Instituto Federal de Sergipe,Campus Nossa Senhora da Glória,2008,SE,Nossa Senhora da Glória
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Nova Friburgo,2008,RJ,Nova Friburgo
IFES,Instituto Federal do Espírito Santo,Campus Nova Venécia,2008,ES,Nova Venécia
IFPR,Instituto Federal do Paraná,Campus Paranaguá,2008,PR,Paranaguá
IFPE,Instituto Federal de Pernambuco,Campus Pesqueira,2008,PE,Pesqueira
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Petrópolis,2008,RJ,Petrópolis
IFMT,Instituto Federal de Mato Grosso,Campus Pontes e Lacerda,2008,MT,Pontes e Lacerda
IFCE,Instituto Federal do Ceará,Campus Quixadá,2008,CE,Quixadá
IFPE,Instituto Federal de Pernambuco,Campus Recife,2008,PE,Recife
IFSP,Instituto Federal de São Paulo,Campus São Roque,2008,SP,São Roque
IF Farroupilha,Instituto Federal Farroupilha,Campus São Vicente do Sul,2008,RS,São Vicente do Sul
IFCE,Instituto Federal do Ceará,Campus Sobral,2008,CE,Sobral
IFG,Instituto Federal de Goiás,Campus Uruaçu,2008,GO,Uruaçu
IFPE,Instituto Federal de Pernambuco,Campus Vitória de Santo Antão,2008,PE,Vitória de Santo Antão
IFRJ,Instituto Federal do Rio de Janeiro,Campus Volta Redonda,2008,RJ,Volta Redonda
IFRN,Instituto Federal do Rio Grande do Norte,Campus Apodi,2009,RN,Apodi
IFTO,Instituto Federal do Tocantins,Campus Araguaína,2009,TO,Araguaína
IFRN,Instituto Federal do Rio Grande do Norte,Campus Caicó,2009,RN,Caicó
IFRN,Instituto Federal do Rio Grande do Norte,Campus Ipanguaçu,2009,RN,Ipanguaçu
IFF,Instituto Federal Fluminense,Campus Itaperuna,2009,RJ,Itaperuna
IFRN,Instituto Federal do Rio Grande do Norte,Campus João Câmara,2009,RN,João Câmara
IFRN,Instituto Federal do Rio Grande do Norte,Campus Macau,2009,RN,Macau
IFRN,Instituto Federal do Rio Grande do Norte,Campus Pau dos Ferros,2009,RN,Pau dos Ferros
IFRN,Instituto Federal do Rio Grande do Norte,Campus Santa Cruz,2009,RN,Santa Cruz
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Valença,2009,RJ,Valença
IFMA,Instituto Federal do Maranhão,Campus Açailândia,2010,MA,Açailândia
IFCE,Instituto Federal do Ceará,Campus Acaraú,2010,CE,Acaraú
IFPE,Instituto Federal de Pernambuco,Campus Afogados da Ingazeira,2010,PE,Afogados da Ingazeira
IFMA,Instituto Federal do Maranhão,Campus Alcântara,2010,MA,Alcântara
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Almenara,2010,MG,Almenara
IFRR,Instituto Federal de Roraima,Campus Amajari,2010,RR,Amajari
IFG,Instituto Federal de Goiás,Campus Anápolis,2010,GO,Anápolis
IFPI,Instituto Federal do Piauí,Campus Angical do Piauí,2010,PI,Angical do Piauí
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Angra dos Reis,2010,RJ,Angra dos Reis
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Araçuaí,2010,MG,Araçuaí
IFAL,Instituto Federal de Alagoas,Campus Arapiraca,2010,AL,Arapiraca
IFSP,Instituto Federal de São Paulo,Campus Araraquara,2010,SP,Araraquara
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Arinos,2010,MG,Arinos
IFRO,Instituto Federal de Rondônia,Campus Ariquemes,2010,RO,Ariquemes
IFSP,Instituto Federal de São Paulo,Campus Avaré,2010,SP,Avaré
IFMA,Instituto Federal do Maranhão,Campus Bacabal,2010,MA,Bacabal
IFSul,Instituto Federal Sul-rio-grandense,Campus Bagé,2010,RS,Bagé
IFMA,Instituto Federal do Maranhão,Campus Barra do Corda,2010,MA,Barra do Corda
IFMT,Instituto Federal de Mato Grosso,Campus Barra do Garças,2010,MT,Barra do Garças
IFMA,Instituto Federal do Maranhão,Campus Barreirinhas,2010,MA,Barreirinhas
IFSP,Instituto Federal de São Paulo,Campus Barretos,2010,SP,Barretos
IFSP,Instituto Federal de São Paulo,Campus Birigui,2010,SP,Birigui
IFRR,Instituto Federal de Roraima,Campus Boa Vista,2010,RR,Boa Vista
IF Baiano,Instituto Federal Baiano,Campus Bom Jesus da Lapa,2010,BA,Bom Jesus da Lapa
IFB,Instituto Federal de Brasília,Campus Brasília,2010,DF,Brasília
IFB,Instituto Federal de Brasília,Campus Gama,2010,DF,Brasília
IFB,Instituto Federal de Brasília,Campus Samambaia,2010,DF,Brasília
IFB,Instituto Federal de Brasília,Campus Taguatinga,2010,DF,Brasília
IFPB,Instituto Federal da Paraíba,Campus Cabedelo,2010,PB,Cabedelo
IFSul,Instituto Federal Sul-rio-grandense,Campus Camaquã,2010,RS,Camaquã
IFSP,Instituto Federal de São Paulo,Campus Campinas,2010,SP,Campinas
IFCE,Instituto Federal do Ceará,Campus Canindé,2010,CE,Canindé
IFRS,Instituto Federal do Rio Grande do Sul,Campus Canoas,2010,RS,Canoas
IFSC,Instituto Federal de Santa Catarina,Campus Canoinhas,2010,SC,Canoinhas
IFPE,Instituto Federal de Pernambuco,Campus Caruaru,2010,PE,Caruaru
IFSP,Instituto Federal de São Paulo,Campus Catanduva,2010,SP,Catanduva
IFMA,Instituto Federal do Maranhão,Campus Caxias,2010,MA,Caxias
IFRS,Instituto Federal do Rio Grande do Sul,Campus Caxias do Sul,2010,RS,Caxias do Sul
IFPA,Instituto Federal do Pará,Campus Conceição do Araguaia,2010,PA,Conceição do Araguaia
IFMT,Instituto Federal de Mato Grosso,Campus Confresa,2010,MT,Confresa
IFPI,Instituto Federal do Piauí,Campus Corrente,2010,PI,Corrente
IFCE,Instituto Federal do Ceará,Campus Crateús,2010,CE,Crateús
IFSC,Instituto Federal de Santa Catarina,Campus Criciúma,2010,SC,Criciúma
IFAC,Instituto Federal do Acre,Campus Cruzeiro do Sul,2010,AC,Cruzeiro do Sul
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Curvelo,2010,MG,Curvelo
IFRS,Instituto Federal do Rio Grande do Sul,Campus Erechim,2010,RS,Erechim
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Floresta,2010,PE,Floresta
IFG,Instituto Federal de Goiás,Campus Formosa,2010,GO,Formosa
IFPR,Instituto Federal do Paraná,Campus Foz do Iguaçu,2010,PR,Foz do Iguaçu
IFPE,Instituto Federal de Pernambuco,Campus Garanhuns,2010,PE,Garanhuns
IFSC,Instituto Federal de Santa Catarina,Campus Gaspar,2010,SC,Gaspar
IFMG,Instituto Federal de Minas Gerais,Campus Governador Valadares,2010,MG,Governador Valadares
IFTO,Instituto Federal do Tocantins,Campus Gurupi,2010,TO,Gurupi
IFSP,Instituto Federal de São Paulo,Campus Hortolândia,2010,SP,Hortolândia
IFES,Instituto Federal do Espírito Santo,Campus Ibatiba,2010,ES,Ibatiba
IF Goiano,Instituto Federal Goiano,Campus Iporá,2010,GO,Iporá
IFBA,Instituto Federal da Bahia,Campus Irecê,2010,BA,Irecê
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Itaguaí,2010,RJ,Itaguaí
IFPA,Instituto Federal do Pará,Campus Itaituba,2010,PA,Itaituba
IFSC,Instituto Federal de Santa Catarina,Campus Itajaí,2010,SC,Itajaí
IF Baiano,Instituto Federal Baiano,Campus Itapetinga,2010,BA,Itapetinga
IFSP,Instituto Federal de São Paulo,Campus Itapetininga,2010,SP,Itapetininga
IFTM,Instituto Federal do Triângulo Mineiro,Campus Ituiutaba,2010,MG,Ituiutaba
IFCE,Instituto Federal do Ceará,Campus Tauá,2013,CE,Tauá
IFCE,Instituto Federal do Ceará,Campus Tianguá,2013,CE,Tianguá
IFSC,Instituto Federal de Santa Catarina,Campus Tubarão,2013,SC,Tubarão
IFCE,Instituto Federal do Ceará,Campus Ubajara,2013,CE,Ubajara
IFTM,Instituto Federal do Triângulo Mineiro,Campus Uberlândia Centro,2013,MG,Uberlândia
IFCE,Instituto Federal do Ceará,Campus Umirim,2013,CE,Umirim
IFSC,Instituto Federal de Santa Catarina,Campus Urupema,2013,SC,Urupema
IFMT,Instituto Federal de Mato Grosso,Campus Várzea Grande,2013,MT,Várzea Grande
IFES,Instituto Federal do Espírito Santo,Campus Venda Nova do Imigrante,2013,ES,Venda Nova do Imigrante
IFSC,Instituto Federal de Santa Catarina,Campus Xanxerê,2013,SC,Xanxerê
IFAC,Instituto Federal do Acre,Campus Xapuri,2013,AC,Xapuri
IFG,Instituto Federal de Goiás,Campus Águas Lindas de Goiás,2014,GO,Águas Lindas de Goiás
IFPR,Instituto Federal do Paraná,Campus Avançado Barracão,2014,PR,Barracão
IFAL,Instituto Federal de Alagoas,Campus Batalha,2014,AL,Batalha
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Bom Sucesso,2014,MG,Bom Sucesso
IFF,Instituto Federal Fluminense,Campus Avançado Cambuci,2014,RJ,Cambuci
IFTM,Instituto Federal do Triângulo Mineiro,Campus Avançado Campina Verde,2014,MG,Campina Verde
IFPI,Instituto Federal do Piauí,Campus Campo Maior,2014,PI,Campo Maior
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Avançado Carmo de Minas,2014,MG,Carmo de Minas
IFMA,Instituto Federal do Maranhão,Campus Avançado Carolina,2014,MA,Carolina
IFPR,Instituto Federal do Paraná,Campus Cascavel,2014,PR,Cascavel
IF Goiano,Instituto Federal Goiano,Campus Avançado Catalão,2014,GO,Catalão
IFPI,Instituto Federal do Piauí,Campus Cocal,2014,PI,Cocal
IFTO,Instituto Federal do Tocantins,Campus Colinas do Tocantins,2014,TO,Colinas do Tocantins
IFAL,Instituto Federal de Alagoas,Campus Coruripe,2014,AL,Coruripe
IF Goiano,Instituto Federal Goiano,Campus Cristalina,2014,GO,Cristalina
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Diamantino,2014,MT,Diamantino
IFS,Instituto Federal de Sergipe,Campus Estância,2014,SE,Estância
IFG,Instituto Federal de Goiás,Campus Goiânia Oeste,2014,GO,Goiânia
IFCE,Instituto Federal do Ceará,Campus Avançado Guaramiranga,2014,CE,Guaramiranga
IF Goiano,Instituto Federal Goiano,Campus Avançado Hidrolândia,2014,GO,Hidrolândia
IF Goiano,Instituto Federal Goiano,Campus Avançado Ipameri,2014,GO,Ipameri
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Ipatinga,2014,MG,Ipatinga
IFSul,Instituto Federal Sul-rio-grandense,Campus Avançado Jaguarão,2014,RS,Jaguarão
IFCE,Instituto Federal do Ceará,Campus Avançado Jaguaruana,2014,CE,Jaguaruana
IFTO,Instituto Federal do Tocantins,Campus Avançado Lagoa da Confusão,2014,TO,Lagoa da Confusão
IFAM,Instituto Federal do Amazonas,Campus Avançado Manacapuru,2014,AM,Manacapuru
IFES,Instituto Federal do Espírito Santo,Campus Montanha,2014,ES,Montanha
IFPE,Instituto Federal de Pernambuco,Campus Palmares,2014,PE,Palmares
IFPA,Instituto Federal do Pará,Campus Parauapebas,2014,PA,Parauapebas
IFTO,Instituto Federal do Tocantins,Campus Avançado Pedro Afonso,2014,TO,Pedro Afonso
IFPI,Instituto Federal do Piauí,Campus Avançado PIO IX,2014,PI,Pio IX
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Piumhi,2014,MG,Piumhi
IFMA,Instituto Federal do Maranhão,Campus Avançado Porto Franco,2014,MA,Porto Franco
IFS,Instituto Federal de Sergipe,Campus Propriá,2014,SE,Propriá
IFAC,Instituto Federal do Acre,Campus Rio Branco Baixada do Sol,2014,AC,Rio Branco
IFAL,Instituto Federal de Alagoas,Campus Rio Largo,2014,AL,Rio Largo
IFMA,Instituto Federal do Maranhão,Campus Avançado Rosário,2014,MA,Rosário
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Santa Maria da Boa Vista,2014,PE,Santa Maria da Boa Vista
IF Farroupilha,Instituto Federal Farroupilha,Campus Santo Ângelo,2014,RS,Santo Ângelo
IFF,Instituto Federal Fluminense,Campus Avançado São João da Barra,2014,RJ,São João da Barra
IFMA,Instituto Federal do Maranhão,Campus São José de Ribamar,2014,MA,São José de Ribamar
IFG,Instituto Federal de Goiás,Campus Senador Canedo,2014,GO,Senador Canedo
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Serra Talhada,2014,PE,Serra Talhada
IFC,Instituto Federal Catarinense,Campus Avançado Sombrio,2014,SC,Sombrio
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Tangará da Serra,2014,MT,Tangará da Serra
IFPI,Instituto Federal do Piauí,Campus Avançado Teresina Dirceu Arcoverde,2014,PI,Teresina
IFS,Instituto Federal de Sergipe,Campus Tobias Barreto,2014,SE,Tobias Barreto
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Avançado Três Corações,2014,MG,Três Corações
IF Farroupilha,Instituto Federal Farroupilha,Campus Avançado Uruguaiana,2014,RS,Uruguaiana
IFPI,Instituto Federal do Piauí,Campus Valença do Piauí,2014,PI,Valença do Piauí
IFES,Instituto Federal do Espírito Santo,Campus Avançado Viana,2014,ES,Viana
IFMA,Instituto Federal do Maranhão,Campus Viana,2014,MA,Viana
IFAL,Instituto Federal de Alagoas,Campus Viçosa,2014,AL,Viçosa
IFPA,Instituto Federal do Pará,Campus Avançado Vigia,2014,PA,Vigia
IFC,Instituto Federal Catarinense,Campus Avançado Abelardo Luz,2015,SC,Abelardo Luz
IFMT,Instituto Federal de Mato Grosso,Campus Alta Floresta,2015,MT,Alta Floresta
IFRS,Instituto Federal do Rio Grande do Sul,Campus Alvorada,2015,RS,Alvorada
IFPR,Instituto Federal do Paraná,Campus Avançado Astorga,2015,PR,Astorga
IFRR,Instituto Federal de Roraima,Campus Avançado Bonfim,2015,RR,Bonfim
IFPB,Instituto Federal da Paraíba,Campus Avançado Cabedelo Centro,2015,PB,Cabedelo
IFF,Instituto Federal Fluminense,Polo de Inovação Campos dos Goytacazes,2015,RJ,Campos dos Goytacazes
IFPR,Instituto Federal do Paraná,Campus Capanema,2015,PR,Capanema
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Avançado Cataguases,2015,MG,Cataguases
IFPB,Instituto Federal da Paraíba,Campus Catolé do Rocha,2015,PB,Catolé do Rocha
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Conselheiro Lafaiete,2015,MG,Conselheiro Lafaiete
IFPR,Instituto Federal do Paraná,Campus Avançado Coronel Vivida,2015,PR,Coronel Vivida
IFBA,Instituto Federal da Bahia,Campus Euclides da Cunha,2015,BA,Euclides da Cunha
IFMG,Instituto Federal de Minas Gerais,Polo de Inovação Formiga,2015,MG,Formiga
IFTO,Instituto Federal do Tocantins,Campus Avançado Formoso do Araguaia,2015,TO,Formoso do Araguaia
