SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO
IFPA,Instituto Federal do Pará,Campus Ananindeua,2016,PA,Ananindeua
IFMA,Instituto Federal do Maranhão,Campus Araioses,2016,MA,Araioses
IFMG,Instituto Federal de Minas Gerais,Campus Avançado Arcos,2016,MG,Arcos
IFES,Instituto Federal do Espírito Santo,Campus Barra de São Francisco,2016,ES,Barra de São Francisco
IFCE,Instituto Federal do Ceará,Campus Boa Viagem,2016,CE,Boa Viagem
IFPA,Instituto Federal do Pará,Campus Cametá,2016,PA,Cametá
IF Goiano,Instituto Federal Goiano,Campus Campos Belos,2016,GO,Campos Belos
IFCE,Instituto Federal do Ceará,Campus Pecém,2016,CE,Caucaia
IFPR,Instituto Federal do Paraná,Campus Colombo,2016,PR,Colombo
IFPB,Instituto Federal da Paraíba,Campus Avançado João Pessoa Mangabeira,2016,PB,Coronel João Pessoa
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Diamantina,2016,MG,Diamantina
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Dourados,2016,MS,Dourados
IFAM,Instituto Federal do Amazonas,Campus Eirunepé,2016,AM,Eirunepé
IFPB,Instituto Federal da Paraíba,Campus Esperança,2016,PB,Esperança
IFRO,Instituto Federal de Rondônia,Campus Guajará-Mirim,2016,RO,Guajará-Mirim
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Guarantã do Norte,2016,MT,Guarantã do Norte
IFCE,Instituto Federal do Ceará,Campus Horizonte,2016,CE,Horizonte
IFPE,Instituto Federal de Pernambuco,Campus Igarassu,2016,PE,Igarassu
IFPB,Instituto Federal da Paraíba,Campus Itabaiana - IFPB,2016,PB,Itabaiana
IF Baiano,Instituto Federal Baiano,Campus Itaberaba,2016,BA,Itaberaba
IFAM,Instituto Federal do Amazonas,Campus Itacoatiara,2016,AM,Itacoatiara
IFMA,Instituto Federal do Maranhão,Campus Itapecuru Mirim,2016,MA,Itapecuru-Mirim
IFCE,Instituto Federal do Ceará,Campus Itapipoca,2016,CE,Itapipoca
IFPB,Instituto Federal da Paraíba,Campus Itaporanga,2016,PB,Itaporanga
IFSP,Instituto Federal de São Paulo,Campus Itaquaquecetuba,2016,SP,Itaquaquecetuba
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Jardim,2016,MS,Jardim
IFRO,Instituto Federal de Rondônia,Campus Jaru,2016,RO,Jaru
IFPI,Instituto Federal do Piauí,Campus Avançado José de Freitas,2016,PI,José de Freitas
IFSP,Instituto Federal de São Paulo,Campus Avançado Jundiaí,2016,SP,Jundiaí
IFBA,Instituto Federal da Bahia,Campus Lauro de Freitas,2016,BA,Lauro de Freitas
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Lucas do Rio Verde,2016,MT,Lucas do Rio Verde
IFAL,Instituto Federal de Alagoas,Campus Avançado Maceió Benedito Bentes,2016,AL,Maceió
IFRJ,Instituto Federal do Rio de Janeiro,Campus Avançado Mesquita,2016,RJ,Mesquita
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Naviraí,2016,MS,Naviraí
IFS,Instituto Federal de Sergipe,Campus Nossa Senhora do Socorro,2016,SE,Nossa Senhora do Socorro
IFSul,Instituto Federal Sul-rio-grandense,Campus Novo Hamburgo,2016,RS,Novo Hamburgo
IFAP,Instituto Federal do Amapá,Campus Avançado Oiapoque,2016,AP,Oiapoque
IFPE,Instituto Federal de Pernambuco,Campus Olinda,2016,PE,Olinda
IFCE,Instituto Federal do Ceará,Campus Paracuru,2016,CE,Paracuru
IFPA,Instituto Federal do Pará,Campus Paragominas,2016,PA,Paragominas
IFPE,Instituto Federal de Pernambuco,Campus Paulista,2016,PE,Paulista
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Avançado Porteirinha,2016,MG,Porteirinha
IFAP,Instituto Federal do Amapá,Campus Porto Grande,2016,AP,Porto Grande
IFRJ,Instituto Federal do Rio de Janeiro,Campus Avançado Resende,2016,RJ,Resende
IFES,Instituto Federal do Espírito Santo,Campus Centro Serrano,2016,ES,Santa Maria de Jetibá
IFPB,Instituto Federal da Paraíba,Campus Santa Rita,2016,PB,Santa Rita
IFBA,Instituto Federal da Bahia,Campus Santo Antônio de Jesus,2016,BA,Santo Antônio de Jesus
IFC,Instituto Federal Catarinense,Campus São Bento do Sul,2016,SC,São Bento do Sul
IFSP,Instituto Federal de São Paulo,Campus São Paulo Pirituba,2016,SP,São Paulo
IF Baiano,Instituto Federal Baiano,Campus Serrinha,2016,BA,Serrinha
IFMT,Instituto Federal de Mato Grosso,Campus Avançado Sinop,2016,MT,Sinop
IFPB,Instituto Federal da Paraíba,Campus Avançado Soledade,2016,PB,Soledade
IFSP,Instituto Federal de São Paulo,Campus Sorocaba,2016,SP,Sorocaba
IFAM,Instituto Federal do Amazonas,Campus Tefé,2016,AM,Tefé
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Teófilo Otoni,2016,MG,Teófilo Otoni
IF Goiano,Instituto Federal Goiano,Campus Trindade,2016,GO,Trindade
IFSP,Instituto Federal de São Paulo,Campus Avançado Tupã,2016,SP,Tupã
IFRS,Instituto Federal do Rio Grande do Sul,Campus Viamão,2016,RS,Viamão
IF Baiano,Instituto Federal Baiano,Campus Xique-Xique,2016,BA,Xique-Xique
IFPE,Instituto Federal de Pernambuco,Campus Abreu e Lima,2017,PE,Abreu e Lima
IFCE,Instituto Federal do Ceará,Campus Acopiara,2017,CE,Acopiara
IFCE,Instituto Federal do Ceará,Campus Maranguape,2017,CE,Maranguape
IFPB,Instituto Federal da Paraíba,Campus Santa Luzia - IFPB,2017,PB,Santa Luzia
IFSP,Instituto Federal de São Paulo,Campus São José do Rio Preto,2017,SP,São José do Rio Preto
IFPR,Instituto Federal do Paraná,Campus Avançado Arapongas,2018,PR,Arapongas
IFRJ,Instituto Federal do Rio de Janeiro,Campus Belford Roxo,2018,RJ,Belford Roxo
IFAM,Instituto Federal do Amazonas,Campus Avançado Boca do Acre,2018,AM,Boca do Acre
IFPB,Instituto Federal da Paraíba,Polo de Inovação João Pessoa,2018,PB,Coronel João Pessoa
IFSC,Instituto Federal de Santa Catarina,Polo de Inovação Florianópolis,2018,SC,Florianópolis
IFMG,Instituto Federal de Minas Gerais,Campus Ibirité,2018,MG,Ibirité
IFAM,Instituto Federal do Amazonas,Campus Avançado Iranduba,2018,AM,Iranduba
IFRN,Instituto Federal do Rio Grande do Norte,Campus Avançado Jucurutu,2018,RN,Jucurutu
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Polo de Inovação Machado,2018,MG,Machado
IFCE,Instituto Federal do Ceará,Campus Avançado Mombaça,2018,CE,Mombaça
IFRN,Instituto Federal do Rio Grande do Norte,Campus Avançado Natal Zona Leste,2018,RN,Natal
IFRJ,Instituto Federal do Rio de Janeiro,Campus Niterói - IFRJ,2018,RJ,Niterói
IF Goiano,Instituto Federal Goiano,Polo de Inovação Rio Verde,2018,GO,Rio Verde
IFRJ,Instituto Federal do Rio de Janeiro,Campus São João de Meriti,2018,RJ,São João de Meriti
IFRO,Instituto Federal de Rondônia,Campus Avançado São Miguel do Guaporé,2018,RO,São Miguel do Guaporé
IFSP,Instituto Federal de São Paulo,Campus Avançado São Paulo - São Miguel,2018,SP,São Paulo
IFPB,Instituto Federal da Paraíba,Campus Avançado Areia,2020,PB,Areia
IFPB,Instituto Federal da Paraíba,Campus Avançado Pedras de Fogo,2020,PB,Pedras de Fogo
IFS,Instituto Federal de Sergipe,Campus Poço Redondo,2020,SE,Poço Redondo
IFMA,Instituto Federal do Maranhão,Campus Presidente Dutra,2020,MA,Presidente Dutra
IFG,Instituto Federal de Goiás,Polo de Inovação Goiânia,2021,GO,Goiânia
IFF,Instituto Federal Fluminense,Campus Itaboraí,2021,RJ,Itaboraí
IFAM,Instituto Federal do Amazonas,Polo de Inovação Manaus,2021,AM,Manaus
IFSP,Instituto Federal de São Paulo,Polo de Inovação Matão,2021,SP,Matão
IFTM,Instituto Federal do Triângulo Mineiro,Polo de Inovação Uberaba,2021,MG,Uberaba
IFSP,Instituto Federal de São Paulo,Campus Bauru,2022,SP,Bauru
IFES,Instituto Federal do Espírito Santo,Campus Laranja da Terra,2022,ES,Laranja da Terra
IFSP,Instituto Federal de São Paulo,Campus Miracatu,2022,SP,Miracatu
IFES,Instituto Federal do Espírito Santo,Campus Pedro Canário,2022,ES,Pedro Canário
IFES,Instituto Federal do Espírito Santo,Campus Presidente Kennedy,2022,ES,Presidente Kennedy
IFSP,Instituto Federal de São Paulo,Campus Presidente Prudente,2022,SP,Presidente Prudente
IFSP,Instituto Federal de São Paulo,Campus Rio Claro,2022,SP,Rio Claro
